Model,Scenario,Region,Variable,Unit,Year,Value
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Coal,EJ/yr,2050,0.3413363278
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2050,83.9498043
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Gas,EJ/yr,2050,21.80355408
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Gas,EJ/yr,2050,18.2770781
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Gas,EJ/yr,2050,6.182753622
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Gas,EJ/yr,2050,5.590670489
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Gas,EJ/yr,2050,32.09574801
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Geothermal,EJ/yr,2050,0.05326540859
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Geothermal,EJ/yr,2050,0.01938906919
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Geothermal,EJ/yr,2050,0.0007142563021
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Geothermal,EJ/yr,2050,0.005906462366
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Geothermal,EJ/yr,2050,0.0001823971134
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Geothermal,EJ/yr,2050,0.02707322361
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Hydro,EJ/yr,2050,20.5440293
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Hydro,EJ/yr,2050,9.83097683
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Hydro,EJ/yr,2050,1.112415798
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Hydro,EJ/yr,2050,3.351124955
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Hydro,EJ/yr,2050,0.9736896418
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Hydro,EJ/yr,2050,5.275822076
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Nuclear,EJ/yr,2050,4.168003777
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Nuclear,EJ/yr,2050,1.838109462
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Nuclear,EJ/yr,2050,0
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Nuclear,EJ/yr,2050,0
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Nuclear,EJ/yr,2050,0.2127467675
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Nuclear,EJ/yr,2050,2.117147548
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Oil,EJ/yr,2050,0.09750676882
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Oil,EJ/yr,2050,0.005838524446
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Oil,EJ/yr,2050,0.0795180086
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Oil,EJ/yr,2050,0.006345128226
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Oil,EJ/yr,2050,0
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Oil,EJ/yr,2050,0.005805107551
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Solar,EJ/yr,2050,4.00292556
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Solar,EJ/yr,2050,2.379179094
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Solar,EJ/yr,2050,0.8494883752
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Solar,EJ/yr,2050,0.2147846695
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Solar,EJ/yr,2050,0.009108752036
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Solar,EJ/yr,2050,0.5503646692
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Wind,EJ/yr,2050,28.04972472
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Wind,EJ/yr,2050,12.50971332
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Wind,EJ/yr,2050,4.117503316
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Wind,EJ/yr,2050,2.457301548
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Wind,EJ/yr,2050,0.6573290283
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Wind,EJ/yr,2050,8.30787751
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2060,30.42561704
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Coal,EJ/yr,2060,25.05312284
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Coal,EJ/yr,2060,4.602319136
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Coal,EJ/yr,2060,0.002409809965
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Coal,EJ/yr,2060,0.1411386088
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Coal,EJ/yr,2060,0.6266266442
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Gas,EJ/yr,2060,103.6934228
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Gas,EJ/yr,2060,27.58452293
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Gas,EJ/yr,2060,23.92443706
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Gas,EJ/yr,2060,10.11494413
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Gas,EJ/yr,2060,5.68541978
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Gas,EJ/yr,2060,36.38409891
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Geothermal,EJ/yr,2060,0.04685805206
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Geothermal,EJ/yr,2060,0.01917405312
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Geothermal,EJ/yr,2060,0.0007290462158
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Geothermal,EJ/yr,2060,0.003527253413
